,Model,RMSE,MAE,R²,MAPE (%),Within ±10 (%),Within ±25 (%),Within ±50 (%),Train Time (s)
1,xgboost,13.577338218688965,9.263018608093262,0.9313979004268236,11.036046594381332,66.39463667549067,94.24037844018734,99.45489575664541,43.29109168052673
2,catboost,15.78261669604004,10.657912670586828,0.9073029043552372,12.613668538384754,60.9294967184098,91.84771541799157,99.07034664243982,62.36186957359314
3,random_forest,16.77563637425255,10.689242592865845,0.8952712025941808,12.653218526221952,61.18168575053649,91.84614902648768,99.02648768033082,64.23897004127502
4,decision_tree,18.82473080409728,11.817959747512512,0.8681240328251473,13.743511842597531,58.263498378784796,89.1738851208471,98.47433467520872,16.688916444778442
5,extra_trees,20.57268642088731,13.87878665897359,0.8424965316778894,17.31490172101388,46.57978415125076,86.97467144938206,98.33884181012202,33.19730043411255
